date,open,high,low,close,volume,RSI,CMO,Moving Average,MACD,MACD_signal,ROC,PPO
2018-10-02,55.44,55.6,54.21,54.69,8604597.0,36.600621108139705,-26.79875778372057,57.50250000000002,0.02366114393765173,0.4103649640786342,-5.4297077641362606,-0.31147770352626575
2018-10-03,54.99,55.2,54.25,54.32,6966651.0,35.16890299467579,-29.662194010648417,57.35800000000002,-0.20593590755979108,0.28710478975094916,-6.183074265975819,-0.6098022455500371
2018-10-04,54.25,54.43,53.04,53.56,7681067.0,32.368098452321256,-35.26380309535749,57.21400000000001,-0.4440995700428587,0.1408639177921876,-7.861689317047993,-0.8814430111127168
2018-10-05,53.74,53.8612,52.54,52.7,5621886.0,29.504682331347436,-40.990635337305136,57.006000000000014,-0.6942380569450535,-0.02615647715526062,-11.592014762623714,-1.2513202774429955
2018-10-08,52.37,52.7119,51.61,52.14,5495659.0,27.781253418584317,-44.43749316283135,56.73500000000003,-0.9269763238120774,-0.20632044648662398,-9.179585438076987,-1.7078454820407207
2018-10-09,52.53,52.93,50.7562,50.86,8284702.0,24.28890901742263,-51.42218196515474,56.36450000000002,-1.20086554914878,-0.4052294670190552,-10.928196147110336,-2.486683735028132
2018-10-10,50.73,50.83,49.68,49.71,13082890.0,21.65502594081587,-56.689948118368264,55.98050000000002,-1.493503938809745,-0.6228843613771932,-13.562858633281161,-3.0157038008935624
2018-10-11,51.5,52.6,50.67,51.48,15887487.0,33.59141159487887,-32.81717681024227,55.66350000000002,-1.5645624613212163,-0.8112199813659978,-11.241379310344835,-3.46983532403472
2018-10-12,52.56,52.71,51.36,52.05,9677255.0,36.92422186225093,-26.151556275498155,55.369500000000016,-1.5569352358094477,-0.9603630322546878,-9.994812381117068,-3.992283801947568
2018-10-15,52.0,52.5,51.76,51.84,6494511.0,36.203339992774005,-27.593320014451994,55.06350000000001,-1.549968774387871,-1.0782841806813244,-8.40989399293286,-4.581089168162477
2018-10-16,52.06,53.22,52.02,53.11,6683962.0,43.400107413552355,-13.19978517289529,54.82750000000001,-1.4255367174406146,-1.1477346880331825,-2.889010788078261,-4.995324675324389
2018-10-17,54.93,55.28,53.7,54.3,9184244.0,49.1845704504283,-1.6308590991433967,54.6475,-1.2168730065282034,-1.1615623517321867,-0.036818851251851914,-5.079479735329646
2018-10-18,54.29,54.3,52.96,53.13,5871378.0,44.38195857214855,-11.236082855702897,54.3975,-1.1328558768215728,-1.155821056750064,-0.8028379387602702,-5.0332515975624945
2018-10-19,53.13,53.58,52.76,53.39,4989832.0,45.65196129886271,-8.696077402274586,54.086500000000015,-1.0333797110762504,-1.1313327876153012,1.3092979127134585,-4.880079752728996
2018-10-22,53.54,54.43,53.3,54.24,6174622.0,49.6960555073085,-0.6078889853830004,53.92800000000001,-0.8758598694116628,-1.0802382039745735,4.027617951668594,-4.530965391620854
2018-10-23,53.3,53.65,52.025,53.45,7679771.0,46.25133116696725,-7.497337666065504,53.74550000000001,-0.8054855220173422,-1.0252876675831273,5.092410538733794,-4.114162022362661
